transaction_id,date,amount,location,category,fraud_type,is_fraud
1,2021-10-18,432249.81,11,9,2,0
2,2024-01-15,344174.11,2,8,2,0
3,2024-12-02,128382.41,19,5,2,0
4,2024-09-03,458960.52,7,6,2,0
5,2024-03-21,213288.95,19,9,0,1
6,2021-02-18,397100.3,16,1,1,1
7,2024-03-20,164827.35,1,9,2,0
8,2025-02-05,350555.95,10,2,2,0
9,2022-12-17,52549.58,3,3,0,1
10,2022-11-20,15962.97,8,1,2,0
11,2025-04-03,871210.13,16,4,1,1
12,2022-06-07,644851.47,8,5,2,0
13,2022-10-19,591789.99,13,4,2,0
14,2023-07-10,518656.08,0,1,2,0
15,2022-10-20,729461.89,1,0,0,1
16,2024-05-30,738803.95,2,1,1,1
17,2024-09-10,935898.85,15,9,2,0
18,2022-09-18,251966.4,0,2,1,1
19,2020-02-22,787346.82,9,2,2,0
20,2023-05-19,991246.16,19,0,3,1
21,2020-02-08,38731.64,3,5,3,1
22,2023-05-15,380245.57,19,1,3,1
23,2020-12-17,441675.51,17,6,2,0
24,2023-02-20,823614.01,19,1,2,0
25,2025-08-11,23605.98,1,6,1,1
26,2023-05-16,602633.34,16,9,2,0
27,2023-05-20,893653.02,8,2,3,1
28,2021-12-21,156150.79,15,1,2,0
29,2025-09-26,124417.88,16,7,0,1
30,2024-12-07,999788.57,3,4,0,1
31,2022-07-12,827699.35,13,1,2,0
32,2023-10-29,700444.33,1,2,1,1
33,2024-10-14,404991.42,6,6,2,0
34,2021-08-28,855423.34,16,9,2,0
35,2021-01-05,923545.28,7,5,2,0
36,2021-12-08,735084.46,11,5,3,1
37,2024-01-27,404113.83,5,8,2,0
38,2023-12-25,587701.74,9,4,2,0
39,2021-10-08,107532.09,1,7,0,1
40,2020-05-06,166440.27,0,0,1,1
41,2021-10-21,785206.97,1,9,2,0
42,2021-07-19,39022.32,0,4,0,1
43,2020-08-21,58704.04,9,7,2,0
44,2023-10-30,512943.26,10,9,2,0
45,2020-02-09,178823.98,5,9,0,1
